state,lgc,population,land_size_klm2,senatorial_district,Male,Female
Cross River,Boki,186611,2805.71,B,95154,91457,
Cross River,Calabar South,191515,185.498,C,94584,96931,
Cross River,Calabar-Municipal,183681,142.736,C,93092,90589,
Cross River,Etung,80036,823.917,B,41089,38947,
Cross River,Ikom,163691,1984.36,B,82646,81045,
Cross River,Obanliku,109633,1070.63,A,55998,53635,
Cross River,Obubra,172543,1127.42,B,87153,85390,
Cross River,Obudu,161457,459.458,A,81537,79920,
Cross River,Odukpani,192884,1366.23,C,100697,92187,
Cross River,Ogoja,171574,985.598,A,86802,84772,
Cross River,Yakurr,196271,676.86,B,99485,96786,
Cross River,Yala,211557,1763.59,A,105416,106141,
Delta,Aniocha North,104062,411.014,B,52448,51614,
Delta,Aniocha South,142045,877.34,B,69224,72821,
Delta,Bomadi,86016,129.773,C,43435,42581,
Delta,Burutu,207977,1949.72,C,106169,101808,
Delta,Ethiope East,200942,383.544,A,101596,99346,
Delta,Ethiope West,202712,541.272,A,102750,99962,
Delta,Ika North East,182819,467.935,B,91431,91388,
Delta,Ika South,167060,440.243,B,82214,84846,
Delta,Isoko North,143559,481.422,C,71948,71611,
Delta,Isoko South,235147,709.463,C,119167,115980,
Delta,Ndokwa East,103224,1632.24,B,52306,50918,
Delta,Ndokwa West,150024,823.709,B,73842,76182,
Delta,Okpe,128398,448.718,A,65270,63128,
Delta,Oshimili North,118540,515.506,B,58101,60439,
Delta,Oshimili South,150032,270.538,B,76078,73954,
Delta,Patani,67391,218.548,C,34307,33084,
Delta,Sapele,174273,454.026,A,86167,88106,
Delta,Udu,142480,131.735,A,71813,70667,
Delta,Ughelli North,320687,824.738,A,160550,160137,
Delta,Ughelli South,212638,791.428,A,107730,104908,
Delta,Ukwuani,119034,412.978,B,58890,60144,
Delta,Uvwie,188728,95.896,A,93999,94729,
Delta,Warri North,136149,1855.26,C,70446,65703,
Delta,Warri South,311970,638.165,C,158402,153568,
Delta,Warri South West,116538,1734.04,C,61026,55512,
Ebonyi,Abakaliki,149683,591.395,A,72518,77165,
Ebonyi,Afikpo North,156649,242.795,C,80632,76017,
Ebonyi,Afikpo South,157542,381.738,C,79093,78449,
Ebonyi,Ebonyi,127226,449.465,A,60388,66838,
Ebonyi,Ezza North,146149,308.345,B,70341,75808,
Ebonyi,Ezza South,133625,328.178,B,66373,67252,
Ebonyi,Ikwo,214969,583.957,B,99855,115114,
Ebonyi,Ishielu,152581,883.766,B,72671,79910,
Ebonyi,Ivo,121363,247.491,C,62049,59314,
Ebonyi,Izzi,236679,1083.17,A,112832,123847,
Ebonyi,Ohaozara,148317,315.201,C,75093,73224,
Ebonyi,Ohaukwu,195555,523.88,A,94479,101076,
Ebonyi,Onicha,236609,481.851,C,117832,118777,
Edo,Akoko Edo,261567,1392.13,B,132184,129383,
Edo,Egor,340287,93.836,C,168925,171362,
Edo,Esan Central,105242,342.842,A,53017,52225,
Edo,Esan North East,121989,255.744,A,61647,60342,
Edo,Esan South East,166309,1322.78,A,84587,81722,
Edo,Esan West,127718,508.381,A,65312,62406,
Edo,Etsako Central,94228,669.492,B,47708,46520,
Edo,Etsako East,147335,1150.14,B,72477,74858,
Edo,Etsako West,198975,958.918,B,100986,97989,
Edo,Igueben,70276,384.597,A,35132,35144,
Edo,Ikpoba-Okha,372080,870.709,C,184725,187355,
Edo,Oredo,374515,251.624,C,188895,185620,
Edo,Orhionmwon,183994,2405.15,C,92433,91561,
Edo,Ovia North East,155344,2325.51,C,80433,74911,
Edo,Ovia South West,138072,2832.09,C,72113,65959,
Edo,Owan East,154630,1257.68,B,78890,75740,
Edo,Owan West,99056,741.199,B,50755,48301,
Edo,Uhunmwonde,121749,2056.45,C,63727,58022,
Ekiti,Ado Ekiti,313690,297.852,C,162563,151127,
Ekiti,Aiyekire (Gbonyin),147999,397.367,C,75342,72657,
Ekiti,Efon,87187,235.482,B,43587,43600,
Ekiti,Ekiti East,138340,325.887,C,70022,68318,
Ekiti,Ekiti South West,165087,350.589,C,83416,81671,
Ekiti,Ekiti West,179600,371.319,B,91241,88359,
Ekiti,Emure,94264,305.304,C,47767,46497,
Ekiti,Ido-Osi,160001,235.303,A,81461,78540,
Ekiti,Ijero,221873,396.971,B,112363,109510,
Ekiti,Ikere,148558,266.445,C,69252,79306,
Ekiti,Ikole,170414,1090.64,A,86873,83541,
Ekiti,Ilejemeji,43459,96.508,A,22010,21449,
Ekiti,Irepodun/Ifelodun,131330,361.746,B,66289,65041,
Ekiti,Ise/Orun,113951,438.234,C,57743,56208,
Ekiti,Moba,145408,202.801,A,75747,69661,
Ekiti,Oye,137796,515.445,A,69811,67985,
Enugu,Aninri,136221,367.755,B,66225,69996,
Enugu,Awgu,197292,451.444,B,96132,101160,
Enugu,Enugu East,277119,388.395,A,131214,145905,
Enugu,Enugu North,242140,107.733,A,118895,123245,
Enugu,Enugu South,198032,68.287,A,93758,104274,
Enugu,Ezeagu,170603,640.844,B,84466,86137,
Enugu,Igbo-Etiti,208333,329.879,C,105262,103071,
Enugu,Igbo-Eze North,258829,297.707,C,126069,132760,
Enugu,Igbo-Eze South,147364,160.133,C,72619,74745,
Enugu,Isi-Uzo,148597,889.615,A,72497,76100,
Enugu,Nkanu East,153591,804.629,A,75008,78583,
Enugu,Nkanu West,147385,227.569,A,72706,74679,
Enugu,Nsukka,309448,491.13,C,149418,160030,
Enugu,Oji-River,128741,407.87,B,61719,67022,
Enugu,Udenu,178687,251.849,C,88381,90306,
Enugu,Udi,238305,908.705,B,117914,120391,
Enugu,Uzo-Uwani,127150,866.622,C,63759,63391,
Gombe,Akko,337435,2705.966,A,177515,159920,
Gombe,Balanga,211490,1670.886,B,108494,102996,
Gombe,Billiri,202680,757.449,B,103201,99479,
Gombe,Dukku,207658,3948.886,C,107583,100075,
Gombe,Funakaye,237687,1463.021,C,132054,105633,
Gombe,Gombe,266844,53.434,C,146721,120123,
Gombe,Kaltungo,160392,905.88,B,80177,80215,
Gombe,Kwami,193995,1844.865,C,99778,94217,
Gombe,Nafada (Bajoga),140185,1643.72,C,79009,61176,
Gombe,Shomgom,150948,946.828,B,76450,74498,
Gombe,Yamaltu/Deba,255726,2041.099,A,133246,122480,
Imo,Aboh-Mbaise,194779,186.118,A,98480,96299,
Imo,Ahiazu-Mbaise,170824,114.773,A,86326,84498,
Imo,Ehime-Mbano,130575,170.266,C,65237,65338,
Imo,Ezinihitte,168767,110.323,A,84725,84042,
Imo,Ideato North,156161,192.206,B,78753,77408,
Imo,Ideato South,159654,89.381,B,81125,78529,
Imo,Ihitte/Uboma,119419,104.983,C,60492,58927,
Imo,Ikeduru,149737,180.404,A,75025,74712,
Imo,Isiala Mbano,197921,167.201,C,100835,97086,
Imo,Isu,164328,40.441,B,84299,80029,
Imo,Mbaitoli,237474,205.933,A,118959,118515,
Imo,Ngor-Okpala,157858,566.008,A,78829,79029,
Imo,Njaba,143485,84.768,B,72401,71084,
Imo,Nkwerre,80270,38.447,B,40845,39425,
Imo,Nwangele,127691,63.898,B,65022,62669,
Imo,Obowo,117432,94.161,C,58204,59228,
Imo,Oguta,142340,488.043,B,72549,69791,
Imo,Ohaji/Egbema,182891,897.996,B,92604,90287,
Imo,Okigwe,132701,323.677,C,67660,65041,
Imo,Orlu,142792,132.949,B,69632,73160,
Imo,Orsu,120224,56.408,B,60490,59734,
Imo,Oru East,111743,137.009,B,56148,55595,
Imo,Oru West,115704,94.206,B,59108,56596,
Imo,Owerri North,176334,199.996,A,87094,89240,
Imo,Owerri West,101754,297.127,A,49968,51786,
Imo,Owerri-Municipal,125337,58.477,A,60882,64455,
