state,lgc,population,land_size_klm2,senatorial_district,Male,Female,lgc_value,lgc_faac_per_capita,lgc_rank,prev_month_lgc,current_month_lgc,,,
Anambra,Nnewi North,155443,60.477,C,77517,77926,70081929.15,450.8529117,594,142204345.6,154349470.4,
Anambra,Nnewi South,233362,175.759,C,118532,114830,84113660.9,360.4428352,252,167924595.2,182286753.8,
Anambra,Ogbaru,223317,457.996,A,115678,107639,80372983.18,359.9053506,327,162204007.1,175895823.3,
Anambra,Onitsha North,125918,42.599,A,61588,64330,67330359.65,534.7159235,652,134795600,146671078.6,
Anambra,Onitsha South,137191,10.12,A,71348,65843,69766515.44,508.5356579,601,139062010.2,151336302.4,
Anambra,Orumba North,172773,300.571,C,84996,87777,75341912.92,436.0745772,459,150017695,163121532.2,
Anambra,Orumba South,184548,194.437,C,93199,91349,76244110.87,413.1397299,438,152993911.6,166147976,
Anambra,Oyi,168201,138.019,A,85694,82507,73205574.15,435.2267475,514,147064657.2,159763731.7,
Bauchi,Alkaleri,328284,6092.833,A,166936,161348,123432512.3,375.99308,16,236102792.7,244382627.9,
Bauchi,Bauchi,493730,3806.624,A,252420,241310,149057758.7,301.9013604,3,286470767.7,298562305.1,
Bauchi,Bogoro,83809,919.936,A,41776,42033,65189884.06,777.8387054,678,138776691.3,137195598.4,
Bauchi,Damban,150212,1121.467,B,75978,74234,77043791.82,512.9003796,414,160829235.3,161098440.6,
Bauchi,Darazo,249946,3128.715,B,126741,123205,97733222.81,391.017351,102,197214804.9,200860356.4,
Bauchi,Dass,90114,551.783,A,46695,43419,64717450.89,718.1731017,687,139018029,137284990.6,
Bauchi,Gamawa,284411,3055.895,C,145510,138901,103248403.9,363.0253537,65,207976566.1,212447980.6,
Bauchi,Ganjuwa,278471,5239.237,B,140402,138069,104226254.6,374.2804623,61,204262692.5,209272997.5,
Bauchi,Giade,156022,694.577,C,79628,76394,73311633.95,469.8801063,512,157499192.3,156933609.7,
Bauchi,Itas/Gadau,228527,1459.507,C,114808,113719,83963216.66,367.4104883,254,179062933.8,180037953.1,
Bauchi,Jama'Are,117482,513.701,C,60941,56541,64968082.2,553.0045641,682,143027971.1,141086673.1,
Bauchi,Katagum,293020,1496.563,C,152552,140468,100609845.3,343.3548742,83,206331160.5,210162911.8,
Bauchi,Kirfi,145636,2448.541,A,75337,70299,82746796.26,568.1754254,280,166710710.9,168200178.1,
Bauchi,Misau,261410,1275.189,B,135704,125706,96622239.5,369.619523,106,197571281.2,200874248.4,
Bauchi,Ningi,385997,4802.044,B,196528,189469,123819262.8,320.7777854,14,244247908.4,252069736,
Bauchi,Shira,233999,1374.843,C,118888,115111,92824842.44,396.6890561,135,189424341.8,192210128.5,
Bauchi,Tafawa-Balewa,221310,2590.058,A,110372,110938,91300350.04,412.5450727,154,185860651.6,188459269.5,
Bauchi,Toro,346000,7168.231,A,172921,173079,128396569.6,371.0883513,10,244408736.3,253528272.5,
Bauchi,Warji,114983,649.561,B,58054,56929,71460136.55,621.4843633,563,149803084.5,149245302.6,
Bauchi,Zaki,189703,1544.568,C,97075,92628,79961801.26,421.510473,335,169478816.8,169978642.1,
Bayelsa,Brass,184127,1410.76,A,94359,89768,90802562.9,493.1518077,161,199216349.2,187855463.5,
Bayelsa,Ekeremor,269588,1820.23,C,137753,131835,104241813,386.6708199,60,225280804.7,215887529.2,
Bayelsa,Kolokuma/Opokuma,79266,363.334,B,39952,39314,69373037.27,875.1928604,604,161410274.1,146649810.7,
Bayelsa,Nembe,130966,763.877,A,66768,64198,85540089.05,653.1472982,231,186238131.5,174300291.9,
Bayelsa,Ogbia,179606,699.013,A,92015,87591,89895175.85,500.5132114,173,197540695.7,186041086.5,
Bayelsa,Sagbama,186869,951.65,C,95667,91202,88380912.68,472.956524,195,196850719.8,184972561.6,
Bayelsa,Southern Ijaw,321808,2695.86,B,165329,156479,122104276.3,379.4320723,18,251362142.3,245181748.9,
Bayelsa,Yenegoa,352285,711.024,B,182240,170045,112706811.4,319.9307701,39,245627409.7,237199170.7,
Benue,Ado,184389,1238.188,C,92367,92022,89806870.24,487.0511269,174,157444630.1,171421678.1,
Benue,Agatu,115597,1034.298,C,58478,57119,79240974.51,685.4933477,354,137437881.6,149834140.3,
Benue,Apa,96780,1013.459,C,48658,48122,76728822.22,792.8169273,428,132187678.9,144242531.5,
Benue,Buruku,206215,1267.052,B,103655,102560,90961015.81,441.0979599,158,162023430.9,176006072.2,
Benue,Gboko,361325,1866.328,B,180669,180656,118053236.3,326.7231338,29,212355372.4,230458904.8,
Benue,Guma,194164,2938.691,B,97318,96846,96450973.7,496.7500345,107,166402206.1,181626225.4,
